Class Number,Image Number,Prompt Number,Quality,Aesthetics,ADDITION,SPECIFIC OBJECT,CHANGE,STYLE TRANSFER,BACKGROUND,SPECIFIC DETAIL,SPECIFIC POSITION,LANDSCAPE,COUNT,ENTIRE OBJECT-RELEVANT,ENTIRE OBJECT-IRRELEVANT,FICTION REFERENCE,TIMELINE,IMAGE,CAMERA CONTROL,REMOVAL,MULTIPLE-OBJECT,SPATIAL POSTION,MULTIPLE OBJECTS,SPECIFC DETAIL,SPECIFIC DETAILS,SPECFIC OBJECT,SPECIFIC DETAIl,SPATIAL POSITION,SPECIFIC OBJECT SPECIFIC DETAIL,SPECFIC DETAIL,
1.0,1,Class01_Img01_Prompt01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img01_Prompt02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img01_Prompt03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img01_Prompt04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img01_Prompt05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,2,Class01_Img02_Prompt01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img02_Prompt02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img02_Prompt03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img02_Prompt04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
,,Class01_Img02_Prompt05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
